first_name,last_name,full_name,pos,war_pos,war_p,war_tot,war_162,wae,wam,wwpa,wwar,c_pct,rp_pct,wwar_norm,is_pitcher,is_hitter,b_pa,b_ab,b_h,b_2b,b_3b,b_hr,b_bb,b_hbp,b_sf,ba,obp,slg,ops_plus,p_w,p_l,p_sv,p_ip,p_h,p_er,p_bb,p_so,p_hr,era,era_plus,hof_status,induction_year
Hideki,Okajima,Hideki Okajima,P,0.0,6.3,6.3,6.3,1.8,0.0,2.2,10.3,,1.000,12.1,yes,,,,,,,,,,,,,,,17,8,6,246.3,221,85,86,215,26,3.11,149,active
Herb,Pennock,Herb Pennock,P,0.6,9.3,9.9,10.7,0.4,0.0,0.0,11.1,,0.383,11.9,yes,,,,,,,,,,,,,,,62,59,6,1089.3,1169,444,299,358,29,3.67,100,hof,1995
Danny,MacFayden,Danny MacFayden,P,-0.8,10.9,10.1,10.6,0.8,0.0,0.0,11.4,,0.200,11.8,yes,,,,,,,,,,,,,,,52,78,4,1167.0,1273,548,430,344,45,4.23,102
Joe,Harris,Joe Harris,LF,9.6,0.0,9.6,10.1,1.7,0.0,0.0,11.8,,,11.8,,yes,1601,1382,439,94,29,22,163,11,0,0.318,0.394,0.475,126
Adrian,Gonzalez,Adrian Gonzalez,1B,6.9,0.0,6.9,6.9,3.9,0.9,0.0,11.7,,,11.7,,yes,715,630,213,45,3,27,74,6,5,0.338,0.410,0.548,155,,,,,,,,,,,,active
Mike,Timlin,Mike Timlin,P,0.0,6.9,6.9,6.9,1.6,0.1,1.2,9.8,,1.000,11.5,yes,,,,,,,,,,,,,,,30,22,27,409.0,422,171,98,273,44,3.76,125
Bill,Campbell,Bill Campbell,P,0.0,5.1,5.1,5.1,3.1,1.6,0.0,9.8,,1.000,11.5,yes,,,,,,,,,,,,,,,28,19,51,335.0,318,133,142,240,27,3.57,122
Clay,Buchholz,Clay Buchholz,P,0.1,8.8,8.9,8.9,2.4,0.0,0.0,11.3,,0.026,11.4,yes,,,,,,,,,,,,,,,35,24,0,447.0,416,181,185,342,43,3.64,123,active
Patsy,Dougherty,Patsy Dougherty,LF,8.1,0.0,8.1,9.3,2.2,0.0,-0.1,11.3,,,11.3,,yes,1359,1223,398,36,22,4,100,12,0,0.325,0.382,0.401,126
Jody,Reed,Jody Reed,2B,11.3,0.0,11.3,11.3,0.2,0.0,-0.3,11.2,,,11.2,,yes,3067,2658,743,180,7,17,319,16,17,0.280,0.358,0.372,100
